Project,Scenario,Dollar_year,Weather_year,Start_day,gea,country,tz,t
Cambium24,HighRECost_LowNGPrice,2023$,2012,Sunday,PJM_West,usa,CT,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 01:00:00,2035-01-01 00:00:00,12648.4,0.0,0.0,14.9,12663.3,12238.1,9279.2,0.0,1424.6,0.0324,0.0433,0.0,0.0,0.0,6.7,15.9,0.15,0.0,7.3,7.3,0.0,0.0,0.0,6.4,15.1,0.14,0.0,6.9,6.9,32.5,0.6,0.07,3.8,240.7,0.02,32.5,11.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,0.0,5.59,5.85,0.0,0.0,5.85,0.0,0.0,0.0,14087.9,3384.1,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,3384.1,0.0
2035-01-01 02:00:00,2035-01-01 01:00:00,12088.4,0.0,0.0,12.7,12101.1,11701.8,8848.5,0.0,1855.3,0.032,0.0414,0.0,0.0,0.0,6.8,16.1,0.15,0.0,7.3,7.3,0.0,0.0,0.0,6.4,15.0,0.14,0.0,6.9,6.9,35.2,0.7,0.07,4.2,261.6,0.02,35.3,12.0,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,0.0,5.43,5.67,0.0,0.0,5.67,0.0,0.0,0.0,13956.4,3252.5,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,3252.5,0.0
2035-01-01 03:00:00,2035-01-01 02:00:00,11638.9,481.4,0.0,17.7,12138.1,11270.6,8832.5,0.0,1871.3,0.0316,0.0399,0.0,0.0,0.0,6.8,16.0,0.15,0.0,7.3,7.3,0.0,0.0,0.0,6.3,14.9,0.14,0.0,6.8,6.8,34.3,0.7,0.07,4.1,254.1,0.02,34.3,11.6,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,5.44,5.66,0.0,0.0,5.66,0.0,0.0,0.0,14009.4,3305.6,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,3305.6,0.0
2035-01-01 04:00:00,2035-01-01 03:00:00,11394.7,1479.1,0.0,17.0,12890.8,11036.0,9545.6,0.0,1158.2,0.0315,0.039,0.0,0.0,0.0,6.8,16.0,0.15,0.0,7.3,7.3,0.0,0.0,0.0,6.3,14.9,0.14,0.0,6.8,6.8,20.7,0.4,0.04,2.5,153.0,0.01,20.8,7.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,5.44,5.65,0.0,0.0,5.65,0.0,0.0,0.0,14049.0,3345.2,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,3345.2,0.0
2035-01-01 05:00:00,2035-01-01 04:00:00,11307.4,1294.6,0.0,15.6,12617.5,10952.0,9191.9,0.0,1512.0,0.0314,0.0387,0.0,0.0,0.0,6.7,15.9,0.15,0.0,7.2,7.2,0.0,0.0,0.0,6.3,14.8,0.14,0.0,6.7,6.7,5.1,0.1,0.01,0.6,36.4,0.0,5.1,1.7,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,5.44,5.65,0.0,0.0,5.65,0.0,0.0,0.0,14129.5,3425.7,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,3425.7,0.0
2035-01-01 06:00:00,2035-01-01 05:00:00,11565.3,2143.1,0.0,13.6,13721.9,11199.8,10280.8,0.0,423.0,0.0316,0.0396,0.0,0.0,0.0,6.7,15.9,0.15,0.0,7.2,7.2,0.0,0.0,0.0,6.2,14.7,0.14,0.0,6.7,6.7,5.1,0.1,0.01,0.6,36.3,0.0,5.1,1.7,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,5.45,5.66,0.0,0.0,5.66,0.0,0.0,0.0,14144.9,3441.1,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,3441.1,0.0
2035-01-01 07:00:00,2035-01-01 06:00:00,11892.6,0.0,0.0,20.3,11913.0,11514.1,8469.7,0.0,2234.2,0.0318,0.0407,0.0,0.0,0.0,6.7,15.9,0.15,0.0,7.2,7.2,0.0,0.0,0.0,6.3,14.8,0.14,0.0,6.7,6.7,17.7,0.3,0.04,2.1,130.5,0.01,17.7,6.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,0.0,5.43,5.66,0.0,0.0,5.66,0.0,0.0,0.0,14147.1,3443.3,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,3443.3,0.0
2035-01-01 08:00:00,2035-01-01 07:00:00,12409.5,0.0,0.0,11.4,12420.9,12009.4,8939.9,0.0,1764.0,0.0322,0.0425,0.0,0.0,0.0,6.7,15.8,0.15,0.0,7.2,7.2,0.0,0.0,0.0,6.3,14.8,0.14,0.0,6.7,6.7,24.4,0.5,0.05,2.9,180.5,0.01,24.4,8.3,32.7,372.4,7.0,0.7,44.0,2809.9,0.16,372.8,127.8,500.5,7.48,0.0,0.0,7.48,7.82,0.0,0.0,7.82,0.0,0.0,0.0,14184.9,3481.1,0.0,44.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,36.9,3443.3,0.0
