Project,Scenario,Dollar_year,Weather_year,Start_day,gea,country,tz,t
Cambium24,LowRECost,2023$,2012,Sunday,PJM_West,usa,CT,2045
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 01:00:00,2045-01-01 00:00:00,14792.6,1482.5,0.0,19.6,16294.7,14314.7,10703.8,0.0,0.0,0.0323,0.0428,0.0,0.0,0.0,5.8,13.8,0.13,0.0,6.3,6.3,0.0,0.0,0.0,5.3,12.5,0.12,0.0,5.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2670.9,0.0,2670.9,16294.7,5590.9,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,5590.9,0.0
2045-01-01 02:00:00,2045-01-01 01:00:00,13996.8,2067.0,0.0,18.7,16082.6,13552.1,10703.8,0.0,0.0,0.0318,0.0405,0.0,0.0,0.0,5.9,13.9,0.13,0.0,6.4,6.4,0.0,0.0,0.0,5.4,12.6,0.12,0.0,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2676.0,0.0,2676.0,16082.6,5378.7,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,5378.7,0.0
2045-01-01 03:00:00,2045-01-01 02:00:00,13424.2,2739.0,0.0,0.0,16163.2,13002.2,10703.8,0.0,0.0,0.0314,0.0389,0.0,0.0,0.0,5.9,13.9,0.13,0.0,6.3,6.3,0.0,0.0,0.0,5.0,11.8,0.11,0.0,5.4,5.4,90.0,1.9,0.23,10.8,628.0,0.06,90.1,29.5,119.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.4,0.0,2675.4,16163.2,5459.4,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,5459.4,0.0
2045-01-01 04:00:00,2045-01-01 03:00:00,13094.7,3122.3,0.0,2.6,16219.7,12685.4,10703.8,0.0,0.0,0.0313,0.0379,0.0,0.0,0.0,5.9,13.8,0.13,0.0,6.3,6.3,0.0,0.0,0.0,5.0,11.9,0.11,0.0,5.4,5.4,87.6,1.8,0.2,10.4,631.0,0.05,87.7,29.2,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2669.8,0.0,2669.8,16219.7,5515.8,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,5515.8,0.0
2045-01-01 05:00:00,2045-01-01 04:00:00,12930.5,3396.9,0.0,11.2,16338.6,12527.3,10703.8,0.0,0.0,0.0312,0.0374,0.0,0.0,0.0,5.8,13.7,0.13,0.0,6.3,6.3,0.0,0.0,0.0,5.1,12.1,0.11,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2678.8,0.0,2678.8,16338.6,5634.8,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,5634.8,0.0
2045-01-01 06:00:00,2045-01-01 05:00:00,13160.0,3117.2,0.0,21.0,16298.1,12748.1,10703.8,0.0,0.0,0.0313,0.0381,0.0,0.0,0.0,5.8,13.8,0.13,0.0,6.3,6.3,0.0,0.0,0.0,5.3,12.5,0.12,0.0,5.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751.3,0.0,2751.3,16298.1,5594.3,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,5594.3,0.0
2045-01-01 07:00:00,2045-01-01 06:00:00,13573.7,2727.5,0.0,20.6,16321.8,13145.8,10703.8,0.0,0.0,0.0315,0.0393,0.0,0.0,0.0,5.8,13.7,0.13,0.0,6.3,6.3,0.0,0.0,0.0,5.3,12.5,0.12,0.0,5.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.6,0.0,2699.6,16321.8,5618.0,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,5618.0,0.0
2045-01-01 08:00:00,2045-01-01 07:00:00,14206.3,2307.0,0.0,20.2,16533.5,13753.0,10703.8,0.0,0.0,0.0319,0.0411,0.0,0.0,0.0,5.7,13.6,0.13,0.0,6.2,6.2,0.0,0.0,0.0,5.2,12.3,0.12,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2571.2,2.9,2574.2,16533.5,5829.6,0.0,44.3,0.0,0.0,0.0,14.6,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,135.3,5679.7,0.0
