Project,Scenario,Dollar_year,Weather_year,Start_day,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,PJM_West,usa,CT,2030
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 01:00:00,2030-01-01 00:00:00,10697.9,584.5,0.0,27.6,11310.0,10356.5,6869.9,0.0,3834.0,0.0319,0.0413,0.0,0.0,0.0,6.3,14.8,0.14,0.0,6.8,6.8,0.0,0.0,0.0,6.1,14.5,0.14,0.0,6.6,6.6,57.3,1.6,0.22,6.5,365.7,0.04,57.4,17.4,74.9,33.4,0.6,0.06,4.0,252.4,0.01,33.5,11.5,45.0,6.82,0.0,0.3,7.12,6.8,0.0,0.2,7.0,0.0,0.0,0.0,15143.9,4440.1,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4440.1,0.0
2030-01-01 02:00:00,2030-01-01 01:00:00,10280.0,194.8,0.0,31.9,10506.7,9955.5,6245.6,0.0,4458.2,0.0316,0.0397,0.0,0.0,0.0,6.3,15.0,0.14,0.0,6.8,6.8,0.0,0.0,0.0,6.2,14.7,0.14,0.0,6.7,6.7,57.2,1.6,0.22,6.5,365.1,0.04,57.4,17.4,74.8,34.0,0.6,0.06,4.0,256.3,0.01,34.0,11.7,45.7,6.64,0.0,0.24,6.87,6.8,0.0,0.21,7.0,0.0,0.0,0.0,14964.9,4261.1,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4261.1,0.0
2030-01-01 03:00:00,2030-01-01 02:00:00,9931.6,64.6,0.0,35.8,10032.0,9620.7,5695.2,0.0,5008.6,0.0313,0.0384,0.0,0.0,0.0,6.3,14.9,0.14,0.0,6.8,6.8,0.0,0.0,0.0,6.2,14.6,0.14,0.0,6.7,6.7,57.2,1.6,0.22,6.5,364.9,0.04,57.3,17.4,74.7,31.8,0.6,0.06,3.8,240.1,0.01,31.8,10.9,42.8,6.5,0.0,0.21,6.72,6.72,0.0,0.21,6.93,0.0,0.0,0.0,15040.6,4336.8,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4336.8,0.0
2030-01-01 04:00:00,2030-01-01 03:00:00,9767.4,557.2,0.0,34.3,10358.8,9462.8,5962.7,0.0,4741.2,0.0312,0.0377,0.0,0.0,0.0,6.3,14.9,0.14,0.0,6.8,6.8,0.0,0.0,0.0,6.2,14.5,0.14,0.0,6.6,6.6,59.5,1.7,0.23,6.7,379.6,0.04,59.6,18.1,77.7,31.2,0.6,0.06,3.7,235.4,0.01,31.2,10.7,41.9,6.84,0.0,0.3,7.14,6.77,0.0,0.2,6.98,0.0,0.0,0.0,15100.0,4396.2,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4396.2,0.0
2030-01-01 05:00:00,2030-01-01 04:00:00,9744.2,92.9,0.0,38.2,9875.3,9440.5,5372.7,0.0,5331.4,0.0312,0.0377,0.0,0.0,0.0,6.2,14.8,0.14,0.0,6.7,6.7,0.0,0.0,0.0,6.1,14.4,0.14,0.0,6.6,6.6,60.7,1.8,0.24,6.9,387.1,0.04,60.8,18.4,79.2,31.1,0.6,0.06,3.7,234.8,0.01,31.1,10.7,41.8,6.91,0.0,0.22,7.12,7.12,0.0,0.2,7.32,0.0,0.0,0.0,15206.8,4502.7,0.3,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4502.7,0.0
2030-01-01 06:00:00,2030-01-01 05:00:00,10009.5,0.0,0.0,37.1,10046.6,9695.6,5524.0,0.0,5184.7,0.0314,0.0387,0.0,0.0,0.0,6.2,14.7,0.14,0.0,6.7,6.7,0.0,0.0,0.0,6.1,14.5,0.14,0.0,6.6,6.6,62.6,1.9,0.25,7.0,398.9,0.04,62.7,18.9,81.6,33.8,0.6,0.06,4.0,254.9,0.01,33.8,11.6,45.4,7.04,0.0,0.2,7.24,7.32,0.0,0.21,7.53,0.0,0.0,0.0,15231.3,4522.6,4.9,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4522.6,0.0
2030-01-01 07:00:00,2030-01-01 06:00:00,10348.4,396.1,0.0,32.0,10776.6,10021.2,6250.8,0.0,4457.9,0.0316,0.04,0.0,0.0,0.0,6.2,14.7,0.14,0.0,6.7,6.7,0.0,0.0,0.0,6.1,14.5,0.14,0.0,6.6,6.6,57.4,1.6,0.22,6.5,365.9,0.04,57.5,17.4,74.9,30.8,0.6,0.06,3.6,232.1,0.01,30.8,10.6,41.3,7.07,0.0,0.27,7.34,7.15,0.0,0.2,7.35,0.0,0.0,0.0,15234.5,4525.8,4.9,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4525.8,0.0
2030-01-01 08:00:00,2030-01-01 07:00:00,10676.8,4.9,0.0,32.6,10714.3,10336.3,6118.4,0.0,4585.4,0.0319,0.0412,0.0,0.0,0.0,6.2,14.7,0.14,0.0,6.7,6.7,0.0,0.0,0.0,6.1,14.3,0.14,0.0,6.5,6.5,58.7,1.7,0.22,6.7,376.4,0.04,58.8,17.9,76.8,32.3,0.6,0.06,3.8,243.7,0.01,32.3,11.1,43.4,5.78,0.0,0.19,5.97,6.02,0.0,0.2,6.22,0.0,0.0,0.0,15299.7,4595.9,0.0,44.3,0.0,0.0,0.0,1.5,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,68.7,4525.8,0.0
